2024-07-13 00:20:00.621 [background-preinit] INFO  o.h.validator.internal.util.Version - $msg
2024-07-13 00:20:00.669 [main] INFO  c.project.shopapp.ShopappApplication - $msg
2024-07-13 00:20:00.670 [main] INFO  c.project.shopapp.ShopappApplication - $msg
2024-07-13 00:20:01.571 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - $msg
2024-07-13 00:20:01.647 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - $msg
2024-07-13 00:20:02.325 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - $msg
2024-07-13 00:20:02.334 [main] INFO  o.a.coyote.http11.Http11NioProtocol - $msg
2024-07-13 00:20:02.337 [main] INFO  o.a.catalina.core.StandardService - $msg
2024-07-13 00:20:02.337 [main] INFO  o.a.catalina.core.StandardEngine - $msg
2024-07-13 00:20:02.404 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - $msg
2024-07-13 00:20:02.405 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - $msg
2024-07-13 00:20:02.536 [main] INFO  o.h.jpa.internal.util.LogHelper - $msg
2024-07-13 00:20:02.593 [main] INFO  org.hibernate.Version - $msg
2024-07-13 00:20:02.626 [main] INFO  o.h.c.i.RegionFactoryInitiator - $msg
2024-07-13 00:20:02.850 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - $msg
2024-07-13 00:20:02.878 [main] INFO  com.zaxxer.hikari.HikariDataSource - $msg
2024-07-13 00:20:03.034 [main] INFO  com.zaxxer.hikari.pool.HikariPool - $msg
2024-07-13 00:20:03.036 [main] INFO  com.zaxxer.hikari.HikariDataSource - $msg
2024-07-13 00:20:03.081 [main] WARN  org.hibernate.orm.deprecation - $msg
2024-07-13 00:20:03.977 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - $msg
2024-07-13 00:20:03.979 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - $msg
2024-07-13 00:20:04.330 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - $msg
2024-07-13 00:20:04.369 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - $msg
2024-07-13 00:20:04.928 [main] DEBUG o.s.s.a.p.PrePostAnnotationSecurityMetadataSource - $msg
2024-07-13 00:20:04.945 [main] DEBUG o.s.s.a.m.DelegatingMethodSecurityMetadataSource - $msg
2024-07-13 00:20:05.273 [main] DEBUG o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - $msg
2024-07-13 00:20:05.274 [main] DEBUG o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - $msg
2024-07-13 00:20:05.274 [main] DEBUG o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - $msg
2024-07-13 00:20:05.274 [main] DEBUG o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - $msg
2024-07-13 00:20:05.274 [main] DEBUG o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - $msg
2024-07-13 00:20:05.274 [main] DEBUG o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - $msg
